CZFD,3800,75,TREATED GRAVEL,,10,28
CZFM,3500,100,GVL,1,11,29
CZFN,3935,100,gravel,1,6,24
CZGI,3540,80,CRUSHED ROCK,,9,27
CZGR,2800,75,CRUSHED ROCK,,18,36
CZJN,3933,100,ASP,1,2,20
CZJN,1950,75,GRS,0,8,26
CZKE,3500,100,GRVL,,7,25
CZMD,3500,100,GRVL,,5,23
CZML,5293,75,ASP,1,15,33
CZMT,5000,100,ASP,1,13,31
CZPB,3500,100,GRVL,,10,28
CZRJ,3500,100,GRVL,,3,21
CZSJ,3500,100,GRVL,,11,29
CZSN,2600,100,CRUSHED ROCK,,18,36
CZTM,4000,90,GRAVEL,,1,19
CZUM,5500,150,ASP,1,13,31
CZWH,3500,100,CRUSHED ROCK,,2,20
CZWL,3800,75,TREATED GRAVEL,,16,34
DAAB,5833,150,ASP,0,7,25
DAAD,7218,98,ASP,0,4,22
DAAE,7874,148,ASP,1,8,26
DAAG,11483,197,ASP,1,5,23
DAAG,11483,148,ASP,1,9,27
DAAJ,7874,148,ASP,0,2,20
DAAJ,9843,148,ASP,1,13,31
DAAK,11883,148,CON,0,5,23
DAAN,8216,98,PEM,0,8,26
DAAP,9843,148,ASP,1,9,27
DAAQ,10696,148,ASP,0,09L,27R
DAAQ,10696,148,ASP,0,09R,27L
DAAT,11811,148,ASP,1,2,20
DAAT,10171,148,ASP,1,8,26
DAAV,7874,148,ASP,1,17,35
DAAY,11780,150,ASP,0,6,24
DAAY,9436,100,ASP,0,17,35
DAAZ,4265,70,ASP,0,7,25
DABB,9843,148,ASP,1,1,19
DABB,7513,148,ASP,1,5,23
DABC,7874,148,ASP,1,14,32
DABC,9843,148,ASP,0,16,34
DABS,9843,148,ASP,1,11,29
DABS,7874,98,ASP,1,12,30
DABT,9843,148,ASP,1,5,23
DAFH,9835,148,ASP,0,8,26
DAFH,4695,100,ASP,0,9,27
DAOB,9843,148,ASP,1,8,26
DAOE,9834,148,CON,0,7,25
DAOF,9840,150,ASP,1,8,26
DAOF,9840,150,ASP,1,08R,26L
DAOI,5413,98,ASP,0,7,25
DAOL,9037,140,ASP,1,8,26
DAON,8530,148,ASP,1,7,25
DAOO,10039,148,ASP,1,7,25
DAOR,12245,148,ASP,0,6,24
DAOR,9840,148,ASP,0,18,36
DAOS,4868,100,ASP,0,10,28
DAOV,5577,98,ASP,0,8,26
DATM,7372,,UNK,,8,26
DAUA,9843,148,ASP,1,4,22
DAUB,9469,148,ASP,0,13,31
DAUE,5906,148,ASP,0,10,28
DAUE,9843,148,ASP,0,18,36
DAUG,10171,197,ASP,1,12,30
DAUG,7874,148,ASP,0,18,36
DAUH,,,UNK,,1,19
DAUH,9843,148,ASP,1,18,36
DAUI,9843,148,ASP,1,5,23
DAUK,9843,148,ASP,1,1,19
DAUL,12486,148,ASP,1,16L,34R
DAUL,12477,148,ASP,0,16R,34L
DAUO,6562,98,ASP,0,2,20
DAUO,9843,148,ASP,1,13,31
DAUT,9843,148,ASP,0,6,24
DAUU,9843,148,ASP,0,2,20
DAUU,10171,148,ASP,0,18,36
DAUZ,9843,148,ASP,1,5,23
DAUZ,7218,98,ASP,1,15,33
DBBB,7874,148,ASP,1,6,24
DFFD,9934,148,ASP,1,04L,22R
DFFD,6269,98,LAT,0,04R,22L
DFOO,10826,148,ASP,1,6,24
DGAA,11165,200,ASP,1,3,21
DGLE,7999,148,ASP,0,5,23
DGLW,6612,145,ASP,0,3,21
DGSI,6502,148,ASP,1,2,20
DGSN,4227,148,ASP,0,7,25
DGTK,5745,148,ASP,0,4,22
DIAP,9843,164,ASP,1,3,21
DIBK,10827,148,ASP,1,3,21
DIDL,6562,98,CON,0,4,22
DIKO,6890,98,CON,1,9,27
DIMN,6726,98,CON,0,4,22
DISP,6234,98,ASP,1,3,21
DIYO,9843,148,ASP,1,5,23
DNAA,11842,197,ASP,1,4,22
DNAK,9195,148,ASP,0,3,21
DNBE,7870,148,ASP,1,5,23
DNCA,8040,148,ASP,1,3,21
DNEN,7879,148,ASP,1,8,26
DNGU,4800,148,LAT,0,5,23
DNIB,7875,147,ASP,1,5,23
DNIL,10169,197,ASP,1,5,23
DNIM,8858,148,ASP,0,17,35
DNJO,9845,148,ASP,1,10,28
DNKA,9843,197,ASP,1,5,23
DNKN,8040,148,ASP,1,5,23
DNKN,10831,197,ASP,1,6,24
DNMA,9846,197,ASP,1,5,23
DNMK,9830,164,CON,0,5,23
DNMM,8997,148,ASP,1,18L,36R
DNMM,12794,197,ASP,1,18R,36L
DNMN,11153,145,ASP,0,5,23
DNPO,9846,197,ASP,1,3,21
DNSO,9844,197,ASP,1,8,26
DNYO,5160,98,ASP,0,13,31
DNYO,9840,148,ASP,1,17,35
DNZA,5462,98,ASP,0,6,24
DRRM,6070,98,ASP,0,9,27
DRRN,,,UNK,,9,27
DRRN,5315,131,LAT,0,09L,27R
DRRN,9843,148,ASP,1,09R,27L
DRRT,7053,98,ASP,0,6,24
DRZA,9843,98,ASP,1,7,25
DRZD,5249,131,ASP,0,4,22
DRZF,5906,98,ASP,0,9,27
DRZR,5988,98,ASP,1,5,23
DTKA,9416,148,ASP,1,9,27
DTMB,9678,148,ASP,1,7,25
DTTA,10499,148,ASP,1,1,19
DTTA,9318,148,ASP,1,11,29
DTTB,9845,166,PEM,0,8,26
DTTB,3975,164,CON,0,11,29
DTTD,7812,148,ASP,0,2,20
DTTF,9514,148,ASP,1,5,23
DTTG,3702,82,ASP,0,6,24
DTTI,3407,98,ASP,0,13,31
DTTJ,10171,148,ASP,1,9,27
DTTR,8858,148,ASP,0,11,29
DTTX,9843,148,CON,1,15,33
DTTZ,10581,148,ASP,1,9,27
